AAK
ABB Ltd
ÅF B
Alfa Laval
Autoliv SDB
ASSA ABLOY B
Atlas Copco B
Atrium Ljungberg B
Axfood
Axis
Avanza Bank Holding
AstraZeneca
Fast. Balder B
Betsson B
BillerudKorsnäs
Boliden
Castellum
Elekta B
Electrolux B
Ericsson B
Fabege
Fingerprint Cards B
Getinge B
Hexagon B
Hennes & Mauritz B
Holmen B
Intrum Justitia
Industrivärden C
JM
Kinnevik B
Kungsleden
Latour B
Lundbergföretagen B
Modern Times Group B
NCC B
Nordea Bank
NIBE Industrier B
Nobia
Peab B
Ratos B
SAAB B
Sandvik
SCA B
SEB C
Securitas B
Sv. Handelsbanken B
Skanska B
SKF B
SSAB B
Stora Enso A
SWECO B
Swedbank A
Swedish Match
Tele2 B
Telia Company
Tieto Oyj
Trelleborg B
Volvo B
Wallenstam B
Wihlborgs Fastigheter
Acando B
Addtech B
Addnode Group B
B&B TOOLS B
Beijer Alma B
Bilia A
BioGaia B
Biotage
Bure Equity
Catella B
Catena
Clas Ohlson B
Elanders B
Fagerhult
Fast Partner
Gunnebo
HEBA B
HiQ International
Haldex
I.A.R Systems Group
Karo Pharma
Lagercrantz Group B
Mekonomen
Medivir B
Mycronic
New Wave B
Nolato B
OEM International B
Öresund
RaySearch Laboratories B
SAS
SECTRA B
Sensys Gatso Group
SkiStar B
Svolder B
Vitec Software Group B
Vitrolife
Vitrolife
Active Biotech
Anoto Group
Beijer Electronics Group
BioInvent International
Bergs Timber B
Concordia Maritime B
Consilium B
CTT Systems
DORO
Elos Medtech B
Enea
Eniro
Intellecta B
Image Systems
KABE B
Knowit
Lammhults Design Group B
Midway B
MSC Group B
Midsona B
MultiQ International
NOTE
NOVOTEK B
Ortivus B
Proact IT Group
Poolia B
Precise Biometrics
Prevas B
Pricer B
Profilgruppen B
RNB RETAIL AND BRANDS
Rottneros
Semcon
SinterCast
Softronic B
Strax
Stockwik Förvaltning
Svedbergs B
Studsvik
Trention
Venue Retail Group B
Viking Supply Ships B
XANO Industri B
Ambu
Carlsberg B
Coloplast B
Danske Bank
DFDS
DSV
FLSmidth & Co.
Genmab
GN Store Nord
Jeudan
Jyske Bank
Københavns Lufthavne
Lundbeck
A.P. Møller - Mærsk B
Nordea Bank
NKT
Novo Nordisk B
Novozymes B
Royal UNIBREW
Rockwool Int. B
Schouw & Co.
SimCorp
Spar Nord Bank
Sydbank
TDC
Topdanmark
Vestas Wind Systems
William Demant Holding
Alm. Brand
Bavarian Nordic
Bang & Olufsen
D/S Norden
Brdr.Hartmann
Højgaard Holding B
Nordjyske Bank
Per Aarsleff Holding B
Ringkjøbing Landbobank
SAS
Tivoli A/S
Vestjysk Bank
AaB
Brøndby IF
Cemat
Columbus
Djurslands Bank
DLH
Flügger B
Greentech Energy Systems
Grønlandsbanken
Harboes Bryggeri B
H+H International
Monb.& Thor. B
NeuroSearch
Newcap Holding
North Media
Park Street Nordicom A
Østjydsk Bank
PARKEN Sport & Entertainment
RTX
Sanistål
Santa Fe Group
SKAKO
Skjern Bank
Strategic Investments
TK Development
DNO
